# Instagram seeds — usernames only; every figure is read through Business Discovery.
#   1. Handles our own YouTube creators link from their bios and upload captions
#      (the handle a channel links most; Indian channels first). A link is a
#      claim by the creator, so the row carries the YouTube creator id it came
#      from — cross-linking is done after the Instagram read confirms a match.
#   2. Kaggle bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise (India, then the rest)
#   3. HF Shikha180224/dexfluence-indian-creator-index, instagram rows
#   4. Kaggle syedjaferk/top-200-instagrammers-data-cleaned
# One username per line; `# yt:<id>` after it names the linking YouTube creator.
thehungrycheetah  # yt:yt_UCJmP8GX4RU44lpb7_fsmVww
tuffstory  # yt:yt_UC2uoyWhtKgZOjFzCHJGDTXw
ral.livezy  # yt:yt_UC2vPcgthvIT9po7RsNEIZbA
akhil.ds.tech  # yt:yt_UC_s7AF8p_VB0JpBSocuS13Q
vaibhavsisinty  # yt:yt_UClXAalunTPaX1YV185DWUeg
bhala_manushya  # yt:yt_UCaiFduMjCfB7ILzL59nrHrw
srikanth_mvs  # yt:yt_UCyQMHued_mvOHi9FcchzMZg
zindagiunlimited_vlogs  # yt:yt_UCfkfeNJ5Ly-8Hc6ntjBjG8w
prox_fitness  # yt:yt_UCiid44aMTH7njVZ7MCGPsYg
aareyamith  # yt:yt_UCVNFZ3xaLV2dLZNyDMwXdcQ
_lavishkaa_  # yt:yt_UCoV_Clx4oVZkFvqQuzfhSiQ
defindia  # yt:yt_UCnXlk4_wipvTNvDoMGD1ORQ
loveneet_valechaa  # yt:yt_UCgAq9LRKx0NUSZ0ZtB3DWIg
comedianpraveen  # yt:yt_UCBriTgjiwqKKcfjOYuzO_bA
soujanyapriyaa  # yt:yt_UCLV4XCQWxtFuf2NA5y6TU-A
avatarshiva  # yt:yt_UCfW4PRyYW0AM_RTkywrE7Xw
luxuryproperties.in  # yt:yt_UCSdkCDOTruL8ctws5SjctBA
manishchaubey_  # yt:yt_UC0jHyqsVKx0XokQp2h2UHsg
surekha_pleats_kdm  # yt:yt_UCznzRNW2ZalQy9L2bwKFjgw
mesa.scho  # yt:yt_UC6mPbmdDZ9Q50-tT2ttYrRw
prrranay  # yt:yt_UCfsBWO6LUz9ENGks6JgRT9A
veenaramesh585  # yt:yt_UCgZY2P15TsqKB_tFE46w8mg
supercars_bengaluru_  # yt:yt_UCcN8PiGQqRXQ2BMVe6wxpvw
vinnu_lifestyle  # yt:yt_UCl-IF3-OCADSMhTfud4XYBA
mvp.kannada  # yt:yt_UCmQtr7-AQFV-Y0loeyBcAag
cook_travel_repeat  # yt:yt_UCU-LKbFHEYCNpsDAFSFLjVQ
nikhilkamathcio  # yt:yt_UCRv4waLxgUN0Z-yb2I1Fq4A
bullrockfitness  # yt:yt_UCE-JAV5rUUU8qTtPBoKjr8A
_mr_mani_official_  # yt:yt_UC6MMvhJDP_3HL_NbRvpNoWQ
teluguexperiments_sai  # yt:yt_UCeuLwuQE8SV7WYFAOoIiI1A
telugupopulartv  # yt:yt_UCAXz41pFbZsjfa0OfJsCtpw
citizenspulse_cp  # yt:yt_UCDsqO64pLl5NF6hKMBGXgQA
baba_hans_raghuwanshi  # yt:yt_UCigV1clokmoz4LZrGL9fRNw
address_advisors  # yt:yt_UCGC9i5Sli6kW6hmlHETebdA
subhrasmakeover  # yt:yt_UCRpyWzpAcCbWnhTnsE6mukw
thebrownbeauty___  # yt:yt_UCJEumIsvup5tEPM78EXnllA
settlemtravelvlogs  # yt:yt_UCFnUxuPdY4azbsPjQgTwtMw
pranavsharm_a  # yt:yt_UCWdEI-adtq0qZIHCus4-6dQ
theabishekkumar  # yt:yt_UCi8cCe02oSGS21lHrAcjogA
itsfactoholic  # yt:yt_UCS4uc8cHDqcwwro8lGChaQQ
scaler_school_of_technology  # yt:yt_UC-59uyQUy8SeGlCN1fiDweQ
bagman0770  # yt:yt_UCTeQOAmlv4ScpfzEwxh-I1g
techsolwin  # yt:yt_UCI1A8pWrOdBr0HtfIZYw9aQ
vikas_gowda_vlogs  # yt:yt_UCbA8WD-XnodsS3ftHH1MHUg
ansh.nakwal  # yt:yt_UCCkXU_pKTN98ktKl0TnHjBg
  # yt:yt_UCWlbq6VQQX0k2e9zGITFGcA
mensfashiontamil  # yt:yt_UChs6DU4eSIt8Gsj4H3DdAQQ
realtamilselvan  # yt:yt_UCsv9uKTMVLSDlkZrdzqYWgQ
zgodofficiaal  # yt:yt_UCfhVJhlbNp1y7X8sI1CUbHA
tagorecherry  # yt:yt_UCTxfYLmM82aMCovQexkRxFQ
beerbiceps_skillhouse  # yt:yt_UCneyi-aYq4VIBYIAQgWmk_w
lallantopcinema  # yt:yt_UCXmUVmeWmuAU6kUqvczMvrg
of  # yt:yt_UCWBOF1mxr6YXphO0vXAUa1Q
millets.grains.home  # yt:yt_UCR7xKQhv-cqKwyb24mi2kqQ
thechitragupth  # yt:yt_UCWfxgJ946hXTZOpFjttp-8Q
tamilcscvle  # yt:yt_UCBJIOlIkKCX_NONA_SxryxA
keerthi  # yt:yt_UCK-HHyVCfKYzhxVOJgBt73w
mrperfecttech  # yt:yt_UCCya-YUszMuiTAR3lfYMuog
anushkasen0408  # yt:yt_UCoFxUkg6cLuhlY3Ll8SHTDQ
fun_da_vines  # yt:yt_UC4P7fgvQinbOJDEJ9lluZWA
tmbbasics  # yt:yt_UCpaTz-RItKTy_XzkObzcfGw
theabhisheksagar  # yt:yt_UCCneap9DE1plCWwcObu-20Q
veggiewander  # yt:yt_UCQjeYYGiMqXMCHA3RXi285A
ashrafexcel  # yt:yt_UC5Sh-ClXrlNDrTW_KvDeGEA
carryminati  # yt:yt_UCj22tfcQrWG7EMEKS0qLeEg
perkymegs  # yt:yt_UCTELOYSiRIY-7JqRQw-8gMg
jimmy_oye  # yt:yt_UC45R7hITbeWhHVrWZiroJXQ
knishkk  # yt:yt_UCIKAsBdkwH3ERoJd3hJQ-Jg
quick_support007  # yt:yt_UCN3-BVMnr44LIUheSuppw1A
etripto.in  # yt:yt_UC_P_sA6Jf3iSsFueMwIP3vg
anaysa.in  # yt:yt_UCuN4A3GCUq5-0wJDSiJoxRQ
deepgrewal.official  # yt:yt_UC9ChdqQRCaZmTCwSJ49tcbw
sandeep_goswamionly  # yt:yt_UCQrnqh4oYYoTAUnbdMZnHrw
arusonyn  # yt:yt_UC5QwPydUFNYNUiWdPXBEciQ
therawfund  # yt:yt_UCEW_Fg9lQ2VaS7DLVma01Cg
anshvirpandit13  # yt:yt_UCrD6iEKoec-Za68WvAG960g
reetdesignsoff  # yt:yt_UC69Ki4u7_OPp8LxxxdxyGIQ
manojsaru  # yt:yt_UCrkP7L7oieiejXdQHWLqYIg
sangeethkumar706  # yt:yt_UCdce_0JccaDtpuv5x9Gjdyw
doctorinterviewt  # yt:yt_UC1dMm63BcwF-BMnoFf8XZoA
aanandaaudi  # yt:yt_UCA3R_AisHiGLt9Jp06ECmVg
gauravzthakur  # yt:yt_UC00ifCvU8YOOzbL3RdiSTDw
murliwalehausla24  # yt:yt_UCIs62lUAAbac1mdqGIdSVJQ
ankush_raja_off  # yt:yt_UC05cEmAqCtRwIWwncV2gx2Q
tripbaecommunity  # yt:yt_UCzhTELUclTyp5UqhSiIZFxw
mona_singh13  # yt:yt_UC3zVeAaoPEN1Tu25dW3G2Ig
devanshraiyt  # yt:yt_UCRem0cxZp0CNrJaFGRB2Tpw
bindass_kavya  # yt:yt_UCUgvCC6iygghq-f2r96P-Jw
mscrahman  # yt:yt_UCGRiKxHKe7mUi3FIraj8nlQ
dhananjay_tech  # yt:yt_UCuFkA1HPWVD0mXl8o1uBZzA
chooseyourcareer  # yt:yt_UC4aVW1pTSNVDM9Q8IxmQZog
fittuber  # yt:yt_UCYC6Vcczj8v-Y5OgpEJTFBw
tech_kit_tamil  # yt:yt_UCmdeVIeOlkFhMmxm77ICywQ
subramanyashandige  # yt:yt_UCar-NTVSqfURER-XwXn5wGA
thebrowndaughter  # yt:yt_UCa16-D97-w1kxo_JZuQDKwg
brand_investigation  # yt:yt_UCjXiV5brn8tIxHeLTtNiezg
globalecentre  # yt:yt_UCkFZNhDgHW1XX9tCj-NPR-Q
kapilsharma  # yt:yt_UC1-BQ2oxqBVtCjMHF-Wf98w
souravjoshivlogs  # yt:yt_UCjvgGbPPn-FgYeguc5nxG4A
wavemusic  # yt:yt_UC22nIfOTM7KLIQuFGMKzQbg
dnewsbha  # yt:yt_UCbYb3CJPP35UviwnZshkR3A
tanyaandveer  # yt:yt_UChg7GjvN6TLTwtMOx9jb_Eg
are_you_hungry007  # yt:yt_UCbI1isiymwEX8M7asO222Fg
sudhakar_gowda_r  # yt:yt_UCmZJrS8gwCTJiWoVe6BwFZA
manishsolankivlogs  # yt:yt_UCRRMknivc5UwOEj8qREsxuA
pritamyadav__95  # yt:yt_UC4F3v27vGPxnufi86NdmjtA
prasunbajpaiofficial  # yt:yt_UCXCG3leC3eHChlU2OPWMk_A
foodie_incarnate  # yt:yt_UCMfyiLGzptAStxYf7GEIQYQ
